,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_22,ID_23,ID_24,ID_25,ID_26,ID_29,ID_30,ID_31,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38
ID_0,0,0.10015220626807093,,,,,,0.13136537073954882,0.08726716882368563,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_1,0.10015220626807093,0,0.08809517446938049,,,,,0.22674619533288373,0.0902101211850823,0.12408512795978155,,,,,,,,,,,,,,,,,,,,,,,,,
ID_2,,0.08809517446938049,0,0.14914028543662752,,,,,0.1587519320289256,0.07933625370349227,0.1400259541406534,,,,,,,,,,,,,,,,,,,,,,,,
ID_3,,,0.14914028543662752,0,0.10642426827705283,,,,,0.17393450038371505,0.07893182999008956,0.1287085719885773,,,,,,,,,,,,,,,,,,,,,,,
ID_4,,,,0.10642426827705283,0,0.0900568631434757,,,,,0.1575533960879237,0.040462102854105904,0.10506545071197967,,,,,,,,,,,,,,,,,,,,,,
ID_5,,,,,0.0900568631434757,0,0.06210636280764043,,,,,0.07647250566657,0.01751475395339026,0.06783370269708441,,,,,,,,,,,,,,,,,,,,,
ID_6,,,,,,0.06210636280764043,0,,,,,,0.05048446481740777,0.010497946535005768,,,,,,,,,,,,,,,,,,,,,
ID_7,0.13136537073954882,0.22674619533288373,,,,,,0,0.1694500809918717,,,,,,0.09242916798316254,0.14944696541342664,,,,,,,,,,,,,,,,,,,
ID_8,0.08726716882368563,0.0902101211850823,0.1587519320289256,,,,,0.1694500809918717,0,0.14865131887408448,,,,,0.25723370925935496,0.0558515381419622,0.20088383769592577,,,,,,,,,,,,,,,,,,
ID_9,,0.12408512795978155,0.07933625370349227,0.17393450038371505,,,,,0.14865131887408448,0,0.12564391317817694,,,,,0.18664065072796115,0.08790803148715884,0.2016847676248457,,,,,,,,,,,,,,,,,
ID_10,,,0.1400259541406534,0.07893182999008956,0.1575533960879237,,,,,0.12564391317817694,0,0.16149007576716504,,,,,0.14196868816908742,0.11273468076206422,0.1755848521495103,,,,,,,,,,,,,,,,
ID_11,,,,0.1287085719885773,0.040462102854105904,0.07647250566657,,,,,0.16149007576716504,0,0.08667443688961864,,,,,0.17467973963241476,0.12602789980914417,,,,,,,,,,,,,,,,
ID_12,,,,,0.10506545071197967,0.01751475395339026,0.05048446481740777,,,,,0.08667443688961864,0,0.05428310863503784,,,,,,0.08472433909131265,0.0926188974750374,,,,,,,,,,,,,,
ID_13,,,,,,0.06783370269708441,0.010497946535005768,,,,,,0.05428310863503784,0,,,,,,0.05868416634038535,0.05335071342832906,,,,,,,,,,,,,,
ID_14,,,,,,,,0.09242916798316254,0.25723370925935496,,,,,,0,0.22713121270383038,,,,,,,,,,,,,,,,,,,
ID_15,,,,,,,,0.14944696541342664,0.0558515381419622,0.18664065072796115,,,,,0.22713121270383038,0,0.21928483549786915,,,,,,,,,,,,,,,,,,
ID_16,,,,,,,,,0.20088383769592577,0.08790803148715884,0.14196868816908742,,,,,0.21928483549786915,0,0.16145019978554934,,,,0.1391198696989237,0.22809755800642034,,,,,,,,,,,,
ID_17,,,,,,,,,,0.2016847676248457,0.11273468076206422,0.17467973963241476,,,,,0.16145019978554934,0,0.10238650708915051,,,0.14729740381582088,0.06946735325282413,0.16186171153065163,,,,,,,,,,,
ID_18,,,,,,,,,,,0.1755848521495103,0.12602789980914417,,,,,,0.10238650708915051,0,0.18657943246558914,,,0.05556277622541348,0.06021246236724881,0.18602784833718913,,,,,,,,,,
ID_19,,,,,,,,,,,,,0.08472433909131265,0.05868416634038535,,,,,0.18657943246558914,0,0.022149627597626675,,,0.140453115573128,0.03813547770241803,0.026680932454680166,,,,,,,,,
ID_20,,,,,,,,,,,,,0.0926188974750374,0.05335071342832906,,,,,,0.022149627597626675,0,,,,0.04851846087375788,0.020992634346644907,,,,,,,,,
ID_22,,,,,,,,,,,,,,,,,0.1391198696989237,0.14729740381582088,,,,0,0.1804387076175566,,,,,,,,,,,,
ID_23,,,,,,,,,,,,,,,,,0.22809755800642034,0.06946735325282413,0.05556277622541348,,,0.1804387076175566,0,0.10573793639378908,,,0.20121587062403476,,,,,,,,
ID_24,,,,,,,,,,,,,,,,,,0.16186171153065163,0.06021246236724881,0.140453115573128,,,0.10573793639378908,0,0.13207885702107638,,0.10391277643546751,0.12151089690299884,,,,,,,
ID_25,,,,,,,,,,,,,,,,,,,0.18602784833718913,0.03813547770241803,0.04851846087375788,,,0.13207885702107638,0,0.03147900441147433,0.0872413093744761,0.04695059949694393,0.015597490080839117,,,,,,
ID_26,,,,,,,,,,,,,,,,,,,,0.026680932454680166,0.020992634346644907,,,,0.03147900441147433,0,,0.07620093046758226,0.023889979644960774,,,,,,
ID_29,,,,,,,,,,,,,,,,,,,,,,,0.20121587062403476,0.10391277643546751,0.0872413093744761,,0,0.04367787148354049,,0.11894439045382263,0.06624489690689996,0.024856407327897508,,,
ID_30,,,,,,,,,,,,,,,,,,,,,,,,0.12151089690299884,0.04695059949694393,0.07620093046758226,0.04367787148354049,0,0.05354179008587102,,0.1064739616009009,0.045534200868904785,,,
ID_31,,,,,,,,,,,,,,,,,,,,,,,,,0.015597490080839117,0.023889979644960774,,0.05354179008587102,0,,,,,,
ID_33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11894439045382263,,,0,0.05526480417609262,,0.1631821498901271,0.06211106690716797,0.022368126772939916
ID_34,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06624489690689996,0.1064739616009009,,0.05526480417609262,0,0.0638430239068121,,0.11009928050664632,0.0475506769594287
ID_35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024856407327897508,0.045534200868904785,,,0.0638430239068121,0,,,0.1094023601596995
ID_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1631821498901271,,,0,0.10345278310597786,
ID_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06211106690716797,0.11009928050664632,,0.10345278310597786,0,0.06291077287937774
ID_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022368126772939916,0.0475506769594287,0.1094023601596995,,0.06291077287937774,0
